Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
196,10,RBFS,Manhattan Distance,4,5,6
197,10,RBFS,MD + Linear Conflict Correction,8,14,19
198,10,RBFS,Inversion Distance,8,13,38
199,10,RBFS,Manhattan Distance,6,7,8
200,10,RBFS,MD + Linear Conflict Correction,6,12,16
201,10,RBFS,Inversion Distance,6,7,20
202,10,RBFS,Manhattan Distance,6,7,8
203,10,RBFS,MD + Linear Conflict Correction,6,7,8
204,10,RBFS,Inversion Distance,4,5,16
205,10,RBFS,Manhattan Distance,2,3,3
206,10,RBFS,MD + Linear Conflict Correction,6,10,13
207,10,RBFS,Inversion Distance,4,5,15
208,10,RBFS,Manhattan Distance,6,7,8
209,10,RBFS,MD + Linear Conflict Correction,0,1,1
210,10,RBFS,Inversion Distance,4,5,14
211,10,RBFS,Manhattan Distance,2,3,3
212,10,RBFS,MD + Linear Conflict Correction,6,7,8
213,10,RBFS,Inversion Distance,6,7,38
214,10,RBFS,Manhattan Distance,4,5,6
215,10,RBFS,MD + Linear Conflict Correction,4,5,5
216,10,RBFS,Inversion Distance,4,5,17
217,10,RBFS,Manhattan Distance,4,5,5
218,10,RBFS,MD + Linear Conflict Correction,4,9,12
219,10,RBFS,Inversion Distance,6,7,56
220,10,RBFS,Manhattan Distance,6,7,9
221,10,RBFS,MD + Linear Conflict Correction,8,9,12
222,10,RBFS,Inversion Distance,6,7,21
223,10,RBFS,Manhattan Distance,0,1,1
224,10,RBFS,MD + Linear Conflict Correction,4,5,5
225,10,RBFS,Inversion Distance,8,9,28
226,10,RBFS,Manhattan Distance,0,1,1
227,10,RBFS,MD + Linear Conflict Correction,2,3,3
228,10,RBFS,Inversion Distance,6,7,35
229,10,RBFS,Manhattan Distance,2,3,5
230,10,RBFS,MD + Linear Conflict Correction,2,3,3
231,10,RBFS,Inversion Distance,6,7,30
232,10,RBFS,Manhattan Distance,8,9,12
233,10,RBFS,MD + Linear Conflict Correction,2,3,3
234,10,RBFS,Inversion Distance,2,3,8
235,10,RBFS,Manhattan Distance,8,12,24
236,10,RBFS,MD + Linear Conflict Correction,0,1,1
237,10,RBFS,Inversion Distance,6,7,24
238,10,RBFS,Manhattan Distance,4,5,6
239,10,RBFS,MD + Linear Conflict Correction,8,9,12
240,10,RBFS,Inversion Distance,6,7,22
241,10,RBFS,Manhattan Distance,6,7,8
242,10,RBFS,MD + Linear Conflict Correction,8,9,13
243,10,RBFS,Inversion Distance,10,12,38
244,10,RBFS,Manhattan Distance,4,5,6
245,10,RBFS,MD + Linear Conflict Correction,0,1,1
246,10,RBFS,Inversion Distance,4,5,15
247,10,RBFS,Manhattan Distance,8,9,10
248,10,RBFS,MD + Linear Conflict Correction,4,5,5
249,10,RBFS,Inversion Distance,2,3,8
250,10,RBFS,Manhattan Distance,6,7,9
251,10,RBFS,MD + Linear Conflict Correction,6,7,9
252,10,RBFS,Inversion Distance,4,5,13
253,10,RBFS,Manhattan Distance,0,1,1
254,10,RBFS,MD + Linear Conflict Correction,6,7,8
255,10,RBFS,Inversion Distance,4,5,15
256,10,RBFS,Manhattan Distance,4,5,6
257,10,RBFS,MD + Linear Conflict Correction,6,15,20
258,10,RBFS,Inversion Distance,4,5,15
259,10,RBFS,Manhattan Distance,2,3,2
260,10,RBFS,MD + Linear Conflict Correction,6,7,9
261,10,RBFS,Inversion Distance,8,9,27
262,10,RBFS,Manhattan Distance,8,9,11
263,10,RBFS,MD + Linear Conflict Correction,4,9,12
264,10,RBFS,Inversion Distance,6,7,21
265,10,RBFS,Manhattan Distance,2,3,2
266,10,RBFS,MD + Linear Conflict Correction,4,5,5
267,10,RBFS,Inversion Distance,2,3,7
268,10,RBFS,Manhattan Distance,6,7,8
269,10,RBFS,MD + Linear Conflict Correction,4,5,7
270,10,RBFS,Inversion Distance,2,3,9
271,10,RBFS,Manhattan Distance,4,5,5
272,10,RBFS,MD + Linear Conflict Correction,4,7,9
273,10,RBFS,Inversion Distance,8,9,26
274,10,RBFS,Manhattan Distance,4,5,4
275,10,RBFS,MD + Linear Conflict Correction,2,3,3
276,10,RBFS,Inversion Distance,6,7,23
277,10,RBFS,Manhattan Distance,4,5,5
278,10,RBFS,MD + Linear Conflict Correction,4,7,9
279,10,RBFS,Inversion Distance,2,3,8
280,10,RBFS,Manhattan Distance,4,5,6
281,10,RBFS,MD + Linear Conflict Correction,10,13,15
282,10,RBFS,Inversion Distance,8,9,27
283,10,RBFS,Manhattan Distance,10,16,19
284,10,RBFS,MD + Linear Conflict Correction,4,5,6
285,10,RBFS,Inversion Distance,0,1,1
286,10,RBFS,Manhattan Distance,0,1,1
287,10,RBFS,MD + Linear Conflict Correction,2,3,3
288,10,RBFS,Inversion Distance,4,5,16
289,10,RBFS,Manhattan Distance,8,9,10
290,10,RBFS,MD + Linear Conflict Correction,4,5,6
291,10,RBFS,Inversion Distance,8,9,29
292,10,RBFS,Manhattan Distance,4,5,6
293,10,RBFS,MD + Linear Conflict Correction,6,12,16
294,10,RBFS,Inversion Distance,0,1,1
295,10,RBFS,Manhattan Distance,0,1,1
296,10,RBFS,MD + Linear Conflict Correction,6,10,13
297,10,RBFS,Inversion Distance,8,9,26
298,10,RBFS,Manhattan Distance,8,13,15
299,10,RBFS,MD + Linear Conflict Correction,8,18,24
300,10,RBFS,Inversion Distance,8,9,27
301,10,RBFS,Manhattan Distance,2,3,3
302,10,RBFS,MD + Linear Conflict Correction,4,8,10
303,10,RBFS,Inversion Distance,6,7,19
304,10,RBFS,Manhattan Distance,0,1,1
305,10,RBFS,MD + Linear Conflict Correction,6,7,9
306,10,RBFS,Inversion Distance,4,5,13
307,10,RBFS,Manhattan Distance,4,5,5
308,10,RBFS,MD + Linear Conflict Correction,4,5,6
309,10,RBFS,Inversion Distance,8,9,25
310,10,RBFS,Manhattan Distance,6,7,7
311,10,RBFS,MD + Linear Conflict Correction,0,1,1
312,10,RBFS,Inversion Distance,4,5,15
313,10,RBFS,Manhattan Distance,6,7,8
314,10,RBFS,MD + Linear Conflict Correction,6,8,9
315,10,RBFS,Inversion Distance,4,5,15
316,10,RBFS,Manhattan Distance,6,7,7
317,10,RBFS,MD + Linear Conflict Correction,4,5,7
318,10,RBFS,Inversion Distance,6,7,22
319,10,RBFS,Manhattan Distance,4,5,8
320,10,RBFS,MD + Linear Conflict Correction,6,7,9
321,10,RBFS,Inversion Distance,8,9,26
322,10,RBFS,Manhattan Distance,4,5,6
323,10,RBFS,MD + Linear Conflict Correction,6,10,12
324,10,RBFS,Inversion Distance,2,3,8
325,10,RBFS,Manhattan Distance,6,7,7
326,10,RBFS,MD + Linear Conflict Correction,2,3,3
327,10,RBFS,Inversion Distance,6,7,19
328,10,RBFS,Manhattan Distance,6,7,8
329,10,RBFS,MD + Linear Conflict Correction,6,7,8
330,10,RBFS,Inversion Distance,8,9,26
331,10,RBFS,Manhattan Distance,2,3,2
332,10,RBFS,MD + Linear Conflict Correction,0,1,1
333,10,RBFS,Inversion Distance,2,3,7
334,10,RBFS,Manhattan Distance,10,24,39
335,10,RBFS,MD + Linear Conflict Correction,4,5,7
336,10,RBFS,Inversion Distance,4,5,15
337,10,RBFS,Manhattan Distance,6,7,9
338,10,RBFS,MD + Linear Conflict Correction,6,7,8
339,10,RBFS,Inversion Distance,2,3,7
340,10,RBFS,Manhattan Distance,4,5,6
341,10,RBFS,MD + Linear Conflict Correction,2,3,3
342,10,RBFS,Inversion Distance,2,3,16
343,10,RBFS,Manhattan Distance,0,1,1
344,10,RBFS,MD + Linear Conflict Correction,4,7,10
345,10,RBFS,Inversion Distance,4,5,15
346,10,RBFS,Manhattan Distance,0,1,1
347,10,RBFS,MD + Linear Conflict Correction,6,7,8
348,10,RBFS,Inversion Distance,10,11,35
349,10,RBFS,Manhattan Distance,0,1,1
350,10,RBFS,MD + Linear Conflict Correction,8,9,11
351,10,RBFS,Inversion Distance,8,13,42
352,10,RBFS,Manhattan Distance,10,11,14
353,10,RBFS,MD + Linear Conflict Correction,6,7,8
354,10,RBFS,Inversion Distance,2,3,9
355,10,RBFS,Manhattan Distance,4,5,6
356,10,RBFS,MD + Linear Conflict Correction,2,3,3
357,10,RBFS,Inversion Distance,2,3,7
358,10,RBFS,Manhattan Distance,6,7,8
359,10,RBFS,MD + Linear Conflict Correction,2,3,3
360,10,RBFS,Inversion Distance,4,5,17
361,10,RBFS,Manhattan Distance,4,5,5
362,10,RBFS,MD + Linear Conflict Correction,6,7,8
363,10,RBFS,Inversion Distance,4,5,15
364,10,RBFS,Manhattan Distance,4,5,6
365,10,RBFS,MD + Linear Conflict Correction,8,11,14
366,10,RBFS,Inversion Distance,6,7,21
367,10,RBFS,Manhattan Distance,0,1,1
368,10,RBFS,MD + Linear Conflict Correction,4,5,7
369,10,RBFS,Inversion Distance,0,1,1
370,10,RBFS,Manhattan Distance,6,7,8
371,10,RBFS,MD + Linear Conflict Correction,6,7,7
372,10,RBFS,Inversion Distance,8,9,27
373,10,RBFS,Manhattan Distance,2,3,3
374,10,RBFS,MD + Linear Conflict Correction,6,7,8
375,10,RBFS,Inversion Distance,2,3,8
376,10,RBFS,Manhattan Distance,8,9,11
377,10,RBFS,MD + Linear Conflict Correction,2,3,3
378,10,RBFS,Inversion Distance,2,3,7
379,10,RBFS,Manhattan Distance,2,3,2
380,10,RBFS,MD + Linear Conflict Correction,6,7,8
381,10,RBFS,Inversion Distance,6,7,36
382,10,RBFS,Manhattan Distance,2,3,3
383,10,RBFS,MD + Linear Conflict Correction,10,15,20
384,10,RBFS,Inversion Distance,4,5,16
385,10,RBFS,Manhattan Distance,4,5,5
386,10,RBFS,MD + Linear Conflict Correction,8,9,11
387,10,RBFS,Inversion Distance,6,7,21
388,10,RBFS,Manhattan Distance,4,5,5
389,10,RBFS,MD + Linear Conflict Correction,0,1,1
390,10,RBFS,Inversion Distance,6,7,20
391,10,RBFS,Manhattan Distance,6,7,7
392,10,RBFS,MD + Linear Conflict Correction,8,9,11
393,10,RBFS,Inversion Distance,8,9,30
394,10,RBFS,Manhattan Distance,2,3,3
395,10,RBFS,MD + Linear Conflict Correction,2,3,3
396,10,RBFS,Inversion Distance,6,7,19
397,10,RBFS,Manhattan Distance,0,1,1
398,10,RBFS,MD + Linear Conflict Correction,6,7,7
399,10,RBFS,Inversion Distance,2,3,8
400,10,RBFS,Manhattan Distance,4,5,5
401,10,RBFS,MD + Linear Conflict Correction,4,7,8
402,10,RBFS,Inversion Distance,2,3,8
403,10,RBFS,Manhattan Distance,4,5,5
404,10,RBFS,MD + Linear Conflict Correction,4,5,6
405,10,RBFS,Inversion Distance,2,3,8
406,10,RBFS,Manhattan Distance,10,11,12
407,10,RBFS,MD + Linear Conflict Correction,0,1,1
408,10,RBFS,Inversion Distance,8,9,26
409,10,RBFS,Manhattan Distance,2,3,2
410,10,RBFS,MD + Linear Conflict Correction,4,5,5
411,10,RBFS,Inversion Distance,4,5,13
412,10,RBFS,Manhattan Distance,6,7,7
413,10,RBFS,MD + Linear Conflict Correction,4,5,5
414,10,RBFS,Inversion Distance,8,9,28
415,10,RBFS,Manhattan Distance,6,7,7
416,10,RBFS,MD + Linear Conflict Correction,4,7,8
417,10,RBFS,Inversion Distance,2,3,8
418,10,RBFS,Manhattan Distance,2,3,2
419,10,RBFS,MD + Linear Conflict Correction,8,9,10
420,10,RBFS,Inversion Distance,4,5,16
421,10,RBFS,Manhattan Distance,0,1,1
422,10,RBFS,MD + Linear Conflict Correction,4,5,6
423,10,RBFS,Inversion Distance,6,7,21
424,10,RBFS,Manhattan Distance,4,5,6
425,10,RBFS,MD + Linear Conflict Correction,4,7,9
426,10,RBFS,Inversion Distance,2,3,7
427,10,RBFS,Manhattan Distance,0,1,1
428,10,RBFS,MD + Linear Conflict Correction,2,3,3
429,10,RBFS,Inversion Distance,8,10,33
430,10,RBFS,Manhattan Distance,4,5,5
431,10,RBFS,MD + Linear Conflict Correction,0,1,1
432,10,RBFS,Inversion Distance,2,3,8
433,10,RBFS,Manhattan Distance,6,7,8
434,10,RBFS,MD + Linear Conflict Correction,2,3,3
435,10,RBFS,Inversion Distance,8,9,25
436,10,RBFS,Manhattan Distance,4,5,4
437,10,RBFS,MD + Linear Conflict Correction,4,7,8
438,10,RBFS,Inversion Distance,4,5,14
439,10,RBFS,Manhattan Distance,4,5,5
440,10,RBFS,MD + Linear Conflict Correction,6,7,8
441,10,RBFS,Inversion Distance,6,7,29
442,10,RBFS,Manhattan Distance,4,5,6
443,10,RBFS,MD + Linear Conflict Correction,8,9,12
444,10,RBFS,Inversion Distance,6,7,16
445,10,RBFS,Manhattan Distance,2,3,2
446,10,RBFS,MD + Linear Conflict Correction,2,3,3
447,10,RBFS,Inversion Distance,8,9,29
448,10,RBFS,Manhattan Distance,2,3,3
449,10,RBFS,MD + Linear Conflict Correction,2,3,3
450,10,RBFS,Inversion Distance,6,7,19
451,10,RBFS,Manhattan Distance,8,9,10
452,10,RBFS,MD + Linear Conflict Correction,8,14,18
453,10,RBFS,Inversion Distance,2,3,7
454,10,RBFS,Manhattan Distance,4,5,5
455,10,RBFS,MD + Linear Conflict Correction,6,11,14
456,10,RBFS,Inversion Distance,2,3,8
457,10,RBFS,Manhattan Distance,6,7,7
458,10,RBFS,MD + Linear Conflict Correction,2,3,3
459,10,RBFS,Inversion Distance,6,7,19
460,10,RBFS,Manhattan Distance,6,9,11
461,10,RBFS,MD + Linear Conflict Correction,4,7,8
462,10,RBFS,Inversion Distance,6,7,21
463,10,RBFS,Manhattan Distance,4,5,6
464,10,RBFS,MD + Linear Conflict Correction,6,7,7
465,10,RBFS,Inversion Distance,6,7,22
466,10,RBFS,Manhattan Distance,6,9,9
467,10,RBFS,MD + Linear Conflict Correction,4,8,10
468,10,RBFS,Inversion Distance,2,3,8
469,10,RBFS,Manhattan Distance,8,9,10
470,10,RBFS,MD + Linear Conflict Correction,4,5,5
471,10,RBFS,Inversion Distance,2,3,8
472,10,RBFS,Manhattan Distance,4,5,5
473,10,RBFS,MD + Linear Conflict Correction,4,5,6
474,10,RBFS,Inversion Distance,4,5,15
475,10,RBFS,Manhattan Distance,2,3,3
476,10,RBFS,MD + Linear Conflict Correction,4,5,5
477,10,RBFS,Inversion Distance,8,9,25
478,10,RBFS,Manhattan Distance,6,7,8
479,10,RBFS,MD + Linear Conflict Correction,6,10,13
