Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
362,10,RBFS,MD + Linear Conflict Correction,4,5,6
363,10,RBFS,Inversion Distance,4,5,14
364,10,RBFS,Manhattan Distance,4,5,6
365,10,RBFS,MD + Linear Conflict Correction,8,9,12
366,10,RBFS,Inversion Distance,4,5,16
367,10,RBFS,Manhattan Distance,8,9,12
368,10,RBFS,MD + Linear Conflict Correction,2,3,3
369,10,RBFS,Inversion Distance,6,8,24
370,10,RBFS,Manhattan Distance,8,9,12
371,10,RBFS,MD + Linear Conflict Correction,6,10,13
372,10,RBFS,Inversion Distance,4,5,14
373,10,RBFS,Manhattan Distance,4,5,6
374,10,RBFS,MD + Linear Conflict Correction,4,5,6
375,10,RBFS,Inversion Distance,6,7,21
376,10,RBFS,Manhattan Distance,2,3,3
377,10,RBFS,MD + Linear Conflict Correction,2,3,3
378,10,RBFS,Inversion Distance,2,3,8
379,10,RBFS,Manhattan Distance,4,5,5
380,10,RBFS,MD + Linear Conflict Correction,4,5,5
381,10,RBFS,Inversion Distance,8,15,48
382,10,RBFS,Manhattan Distance,6,7,8
383,10,RBFS,MD + Linear Conflict Correction,4,5,6
384,10,RBFS,Inversion Distance,6,7,21
385,10,RBFS,Manhattan Distance,4,5,5
386,10,RBFS,MD + Linear Conflict Correction,6,7,8
387,10,RBFS,Inversion Distance,2,3,8
388,10,RBFS,Manhattan Distance,4,5,5
389,10,RBFS,MD + Linear Conflict Correction,6,7,8
390,10,RBFS,Inversion Distance,6,7,20
391,10,RBFS,Manhattan Distance,4,5,5
392,10,RBFS,MD + Linear Conflict Correction,8,9,11
393,10,RBFS,Inversion Distance,4,5,15
394,10,RBFS,Manhattan Distance,0,1,1
395,10,RBFS,MD + Linear Conflict Correction,6,7,8
396,10,RBFS,Inversion Distance,4,5,12
397,10,RBFS,Manhattan Distance,4,5,7
398,10,RBFS,MD + Linear Conflict Correction,4,5,6
399,10,RBFS,Inversion Distance,6,7,20
400,10,RBFS,Manhattan Distance,4,5,6
401,10,RBFS,MD + Linear Conflict Correction,4,5,5
402,10,RBFS,Inversion Distance,2,3,7
403,10,RBFS,Manhattan Distance,4,5,6
404,10,RBFS,MD + Linear Conflict Correction,4,5,6
405,10,RBFS,Inversion Distance,2,3,9
406,10,RBFS,Manhattan Distance,2,3,3
407,10,RBFS,MD + Linear Conflict Correction,2,3,3
408,10,RBFS,Inversion Distance,4,5,16
409,10,RBFS,Manhattan Distance,6,7,8
410,10,RBFS,MD + Linear Conflict Correction,0,1,1
411,10,RBFS,Inversion Distance,2,3,8
412,10,RBFS,Manhattan Distance,6,9,11
413,10,RBFS,MD + Linear Conflict Correction,6,7,9
414,10,RBFS,Inversion Distance,4,5,15
415,10,RBFS,Manhattan Distance,2,3,2
416,10,RBFS,MD + Linear Conflict Correction,0,1,1
417,10,RBFS,Inversion Distance,4,5,13
418,10,RBFS,Manhattan Distance,2,3,2
419,10,RBFS,MD + Linear Conflict Correction,4,5,5
420,10,RBFS,Inversion Distance,4,5,14
421,10,RBFS,Manhattan Distance,4,5,5
422,10,RBFS,MD + Linear Conflict Correction,4,5,6
423,10,RBFS,Inversion Distance,2,3,8
424,10,RBFS,Manhattan Distance,0,1,1
425,10,RBFS,MD + Linear Conflict Correction,6,7,8
426,10,RBFS,Inversion Distance,4,5,15
427,10,RBFS,Manhattan Distance,2,3,2
428,10,RBFS,MD + Linear Conflict Correction,6,7,9
